Stadium,Capacity,City,State,HTeam,Opened
MetLife Stadium,82566,East Rutherford,New Jersey,NYG,2010
MetLife Stadium,82566,East Rutherford,New Jersey,NYJ,2010
Cowboys Stadium,80000,Arlington,Texas,DAL,2009
FedEx Field,79000,Landover,Maryland,WAS,1997
Mercedes-Benz Superdome,76468,New Orleans,Louisiana,NO,1975
Arrowhead Stadium,76416,Kansas City,Missouri,KC,1972
Sports Authority Field at Mile High,76125,Denver,Colorado,DEN,2001
Sun Life Stadium,75192,Miami Gardens,Florida,MIA,1987
Bank of America Stadium,73778,Charlotte,North Carolina,CAR,1996
FirstEnergy Stadium,73200,Cleveland,Ohio,CLE,1999
Lambeau Field,81435,Green Bay,Wisconsin,GB,1957
Ralph Wilson Stadium,73079,Orchard Park,New York,BUF,1973
Qualcomm Stadium,71294,San Diego,California,SD,1967
Georgia Dome,71228,Atlanta,Georgia,ATL,1992
Reliant Stadium,71054,Houston,Texas,HOU,2002
M&T Bank Stadium,71008,Baltimore,Maryland,BAL,1998
Lincoln Financial Field,69144,Philadelphia,Pennsylvania,PHI,2003
Nissan Stadium,69143,Nashville,Tennessee,TEN,1999
Gillette Stadium,68756,Foxborough,Massachusetts,NE,2002
Levi's Stadium,68500,Santa Clara,California,SF,2014
EverBank Field,67164,Jacksonville,Florida,JAC,1995
CenturyLink Field,67000,Seattle,Washington,SEA,2002
Edward Jones Dome,66965,St. Louis,Missouri,STL,1995
Raymond James Stadium,65908,Tampa,Florida,TB,1998
Paul Brown Stadium,65790,Cincinnati,Ohio,CIN,2000
Heinz Field,65050,Pittsburgh,Pennsylvania,PIT,2001
Ford Field,64500,Detroit,Michigan,DET,2002
University of Phoenix Stadium,63400,Glendale,Arizona,ARI,2006
O.co Coliseum,63026,Oakland,California,OAK,1966
Lucas Oil Stadium,63000,Indianapolis,Indiana,IND,2008
Soldier Field,61500,Chicago,Illinois,CHI,1924
TCF Bank Stadium,50805,Minneapolis,Minnesota,MIN,2009